Ref,Val,Package,PosX,PosY,Rot,Side
"C101","0.1uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",112.277000,-129.794000,180.000000,top
"C102","0.1uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",112.268000,-131.826000,180.000000,top
"C103","0.1uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",98.307000,-134.112000,0.000000,top
"C104","0.1uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",98.307000,-136.144000,0.000000,top
"C105","10uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",184.921000,-132.588000,0.000000,top
"C106","10uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",173.237000,-131.572000,0.000000,top
"C107","0.01uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",173.237000,-129.540000,0.000000,top
"C108","0.01uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",184.921000,-130.556000,0.000000,top
"C109","10uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",173.237000,-127.508000,0.000000,top
"C110","10uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",184.921000,-128.016000,0.000000,top
"C201","0.1uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",112.005000,-52.324000,180.000000,top
"C202","0.1uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",112.004000,-54.356000,180.000000,top
"C203","0.1uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",98.307000,-56.388000,0.000000,top
"C204","0.1uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",98.307000,-58.420000,0.000000,top
"C301","0.1uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",112.023000,-72.644000,180.000000,top
"C302","0.1uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",112.023000,-74.676000,180.000000,top
"C303","0.1uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",98.289000,-76.708000,0.000000,top
"C304","0.1uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",98.289000,-78.740000,0.000000,top
"C401","0.1uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",112.023000,-92.964000,180.000000,top
"C402","0.1uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",112.023000,-94.996000,180.000000,top
